0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,21,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,21,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,21,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,21,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,21,
72,71,71,73,75,74,75,69,73,69,75,70,73,74,74,74,71,66,69,70,71,71,72,71,69,71,73,74,71,67,73,68,75,71,69,72,75,73,71,70,72,73,68,69,72,73,71,71,71,74,71,68,70,73,71,71,71,74,73,70,22,
72,71,71,73,75,74,75,69,73,69,75,70,73,74,74,74,71,66,69,70,71,71,72,71,69,71,73,74,71,67,73,68,75,71,69,72,75,73,71,70,72,73,68,69,72,73,71,71,71,74,71,68,70,73,71,71,71,74,73,70,22,
75,77,69,74,67,68,73,72,75,64,70,67,77,78,62,69,62,72,67,72,69,74,74,63,60,74,74,65,71,60,71,67,70,72,70,72,76,72,71,65,72,70,70,69,70,70,68,75,71,69,71,74,72,71,74,70,74,68,74,73,22,
75,77,69,74,67,68,73,72,75,64,70,67,77,78,62,69,62,72,67,72,69,74,74,63,60,74,74,65,71,60,71,67,70,72,70,72,76,72,71,65,72,70,70,69,70,70,68,75,71,69,71,74,72,71,74,70,74,68,74,73,22,
61,78,76,74,72,68,69,80,50,83,64,76,65,70,74,81,81,70,53,62,79,72,66,73,86,64,68,73,76,76,70,71,73,74,73,70,73,69,70,77,65,72,74,75,73,76,73,77,75,78,74,69,70,69,68,75,71,74,75,69,22,
61,78,76,74,72,68,69,80,50,83,64,76,65,70,74,81,81,70,53,62,79,72,66,73,86,64,68,73,76,76,70,71,73,74,73,70,73,69,70,77,65,72,74,75,73,76,73,77,75,78,74,69,70,69,68,75,71,74,75,69,22,
68,58,67,69,78,85,76,64,86,63,81,77,80,65,83,68,76,73,99,78,67,66,81,75,60,78,73,71,79,66,71,72,71,70,76,72,75,71,70,71,66,65,68,66,72,75,70,69,71,69,71,67,70,70,70,68,77,82,72,61,22,
68,58,67,69,78,85,76,64,86,63,81,77,80,65,83,68,76,73,99,78,67,66,81,75,60,78,73,71,79,66,71,72,71,70,76,72,75,71,70,71,66,65,68,66,72,75,70,69,71,69,71,67,70,70,70,68,77,82,72,61,22,
88,80,68,76,58,60,73,73,74,66,65,59,69,85,55,67,55,73,57,74,75,78,71,66,68,71,80,72,80,69,74,69,83,66,67,65,70,59,72,70,69,70,76,68,67,71,68,76,70,68,70,76,65,68,70,73,79,65,73,72,22,
88,80,68,76,58,60,73,73,74,66,65,59,69,85,55,67,55,73,57,74,75,78,71,66,68,71,80,72,80,69,74,69,83,66,67,65,70,59,72,70,69,70,76,68,67,71,68,76,70,68,70,76,65,68,70,73,79,65,73,72,22,
55,72,83,68,82,64,60,81,44,82,66,73,74,73,71,82,83,76,41,68,61,80,63,77,66,77,63,65,79,61,72,71,74,60,78,66,68,63,74,70,68,76,81,70,72,80,76,71,77,74,76,70,63,74,73,63,64,75,68,72,22,
55,72,83,68,82,64,60,81,44,82,66,73,74,73,71,82,83,76,41,68,61,80,63,77,66,77,63,65,79,61,72,71,74,60,78,66,68,63,74,70,68,76,81,70,72,80,76,71,77,74,76,70,63,74,73,63,64,75,68,72,22,
